Country,Year,Nitrogen Oxide,Sulphur Dioxide,Carbon Monoxide,Organic Carbon,NMVOCs,Black Carbon,Ammonia,Total Air Pollutants
Australia,2015,1158540.7,1188069.21,1950000.17,27747.38,819552.9,25170.44,545277.06,5716372.860000001
Bangladesh,2015,657924.22,224740.5,3209035.43,130535.52,912957.15,45454.78,1016031.38,6198693.98
Brazil,2015,3571672.11,1745115.7,15818534.52,464692.23,4488640.37,170846.42,3060177.13,29321693.48
Canada,2015,1744866.32,1111109.72,5564814.7,69647.4,1925299.27,22103.29,478833.15,10918688.85
China,2015,25236844.22,19255302.47,170649619.8,2055972.71,29903762.74,1326455.45,12375151.65,260805124.04000002
Egypt,2015,735834.54,803036.0,1944242.29,90442.5,831821.4,61996.23,470582.89,4939970.850000001
France,2015,979600.21,164264.39,2517251.93,69449.58,731901.21,27375.28,710202.16,5202059.760000001
Germany,2015,1152917.29,342904.33,2806765.33,86169.52,1030872.28,33547.69,699583.28,6154774.720000001
India,2015,9261419.39,9505318.36,56574316.71,2594825.38,11272513.44,921665.73,9796483.17,99928557.18
Indonesia,2015,3943088.32,2060332.1,25101704.57,763519.17,8337952.33,263416.5,1920900.13,42392928.120000005
Iran,2015,2359171.76,2458084.77,9596261.27,36978.49,3232419.17,82712.66,546708.64,18314351.76
Italy,2015,728870.14,123291.58,2265328.76,58473.21,875725.29,18975.85,429486.12,4502165.949999999
Japan,2015,1920356.03,702438.13,4128729.52,61770.75,1066775.44,50173.5,438797.62,8371055.989999999
Malaysia,2015,882033.84,331504.41,4284004.15,42978.66,1673068.07,34748.29,271808.25,7522160.670000001
Mexico,2015,2069843.67,2903289.98,8928542.52,154940.85,2397696.91,71981.04,850983.58,17379293.549999997
Netherlands,2015,241610.28,31149.35,573065.32,9527.11,225563.46,4271.33,157741.96,1244943.81
Nigeria,2015,615721.3,92758.4,23707818.32,642173.45,5232820.68,191193.7,1256079.57,31740580.419999998
Pakistan,2015,1440017.63,1296484.48,10984803.55,484631.78,2713741.68,153070.89,1859020.69,18933785.700000003
Philippines,2015,566339.32,436230.85,3184512.99,85073.58,1189856.04,39238.38,484889.12,5988155.28
Poland,2015,695583.33,711367.25,2340228.08,88735.63,634449.51,29264.8,329212.53,4830856.13
Russia,2015,3771115.05,5301200.87,7863406.04,281401.4,4176210.78,164387.18,1178007.45,22737743.77
Saudi Arabia,2015,2251745.99,3771428.04,1795513.9,34578.95,1774376.05,99288.23,118055.47,9847001.63
South Korea,2015,1024785.49,317998.59,920226.66,55073.58,965997.95,27905.15,297752.28,3611754.7
Spain,2015,747745.29,263144.07,1278694.69,28055.57,502824.58,13875.03,497706.02,3334060.2499999995
Thailand,2015,1082939.05,457175.78,11387595.78,221487.63,3244526.66,99281.14,705405.56,17200426.6
Turkey,2015,890441.84,2084003.43,1581344.29,64990.61,625142.48,59879.31,709693.47,6017510.43
United Arab Emirates,2015,558596.18,554012.01,850930.87,6185.39,940461.99,16860.56,20724.79,2949786.79
United Kingdom,2015,935750.28,240162.35,1654191.72,31461.91,797359.0,15914.97,352355.56,4029210.7900000005
United States,2015,9862492.32,3655967.34,35682142.26,376771.3,11795045.13,159738.49,3257383.84,64791555.68000001
Vietnam,2015,917325.1,508118.33,10231802.65,214056.91,2292300.32,75755.97,648530.61,14889904.89
Australia,2016,1130977.52,1050559.49,1919486.92,26926.06,818661.25,25051.44,552700.32,5526379.000000001
Bangladesh,2016,675474.28,195630.32,3132807.22,130719.97,920043.9,45544.04,1028306.83,6130542.5600000005
Brazil,2016,3349010.64,1549042.84,14663068.6,465191.09,4260348.97,163996.12,3085872.16,27538546.419999998
Canada,2016,1677692.55,1095471.75,5520000.55,68533.46,1839077.53,20851.09,479898.73,10703541.66
China,2016,24014385.72,15650004.71,159060731.1,1977924.12,29765075.26,1245039.08,12224959.57,243940135.56
Egypt,2016,742096.66,719171.86,1946117.29,91515.69,840342.23,64226.74,480217.45,4885703.920000001
France,2016,937506.97,145359.04,2571849.1,71413.85,719838.52,25826.64,712325.41,5186135.53
Germany,2016,1122557.45,319017.85,2748893.04,85437.05,1032179.07,32527.23,697483.15,6040110.840000001
India,2016,9167905.53,9438071.92,55478843.0,2644811.78,11201060.2,918731.57,9909322.19,98760762.19
Indonesia,2016,4289297.73,2033509.91,24601849.46,754364.99,8147952.94,258950.11,1938364.46,42026305.6
Iran,2016,2086721.05,2236222.99,9238550.94,34694.71,3160233.36,81207.01,553278.88,17392924.94
Italy,2016,705157.42,120437.66,2189868.77,55578.47,860435.21,17933.57,433363.77,4384790.87
Japan,2016,1839845.92,688982.78,3993031.53,60947.18,1053336.79,46077.93,438012.76,8122250.89
Malaysia,2016,876241.57,319498.69,4260100.65,42301.46,1674941.9,33642.18,273761.0,7482503.449999999
Mexico,2016,2072015.77,2884042.76,8771676.03,153275.7,2397866.87,71241.86,861608.54,17213743.529999997
Netherlands,2016,226225.67,28811.23,561367.47,9645.76,220936.32,4018.37,157981.28,1211002.1
Nigeria,2016,651148.93,98299.8,24368038.93,654225.55,5355431.27,196364.66,1287674.0,32613199.14
Pakistan,2016,1513603.31,1458000.11,11425153.45,494701.84,2780044.12,157420.56,1897670.64,19728610.029999997
Philippines,2016,590371.36,464769.65,3245848.15,86891.19,1216949.59,41582.53,492445.59,6140874.0600000005
Poland,2016,710272.08,590549.59,2455296.91,87443.63,667824.54,30122.3,331487.17,4875012.22
Russia,2016,3606571.6,5128629.71,7682596.23,288652.58,4117028.53,158129.14,1178521.88,22162145.67
Saudi Arabia,2016,2198631.47,3983827.91,1714424.71,31849.69,1755136.71,91403.97,120131.79,9897422.250000002
South Korea,2016,1117718.23,329516.77,927313.54,57700.02,976881.08,28338.28,301874.37,3741358.29
Spain,2016,715664.1,225152.48,1274502.99,27567.97,517322.75,13590.96,502107.14,3277924.39
Thailand,2016,1145314.95,460748.23,10200291.28,258477.45,3282160.5,103431.69,739625.23,16192065.329999998
Turkey,2016,908019.82,2390171.38,1615176.32,65036.0,625441.31,57090.1,718041.54,6380992.47
United Arab Emirates,2016,554233.0,582335.47,878970.5,6755.74,952984.51,18656.99,21250.3,3017202.51
United Kingdom,2016,849039.87,166212.27,1544596.23,32905.58,783413.36,15796.9,354491.88,3748472.09
United States,2016,8891820.48,3015954.72,32513589.57,335409.38,11243907.44,149319.48,3431362.46,59583379.53
Vietnam,2016,959776.72,557030.51,9604751.28,214258.27,2196311.06,77354.0,649176.57,14260674.41
Australia,2017,1115247.19,975753.05,1925400.19,26693.67,822184.4,25528.5,560690.93,5453514.93
Bangladesh,2017,719814.94,223834.78,3264781.35,132532.13,946304.5,47219.84,1040488.13,6376992.67
Brazil,2017,3330534.01,1561817.74,14217064.59,462065.74,4121675.0,162096.66,3109442.93,26966713.669999998
Canada,2017,1730137.5,1003893.91,5636221.66,69031.9,1843988.42,20851.11,469458.87,10775600.37
China,2017,23440484.99,12872008.3,153351708.5,1938874.73,30012936.02,1222373.85,12175977.02,235016380.41
Egypt,2017,748527.8,674616.99,1999921.11,92231.75,831166.77,66137.78,489562.68,4904181.88
France,2017,901231.56,145070.43,2522656.22,67541.13,712543.7,24291.87,709509.79,5084861.7
Germany,2017,1086244.67,314985.47,2775234.35,86223.7,1057708.54,31864.17,695828.08,6050105.98
India,2017,9441333.53,9773345.8,54624985.46,2622782.17,11130696.1,908545.99,10020735.39,98524441.43999998
Indonesia,2017,4527487.97,2156445.98,24251039.39,756260.0,7984060.12,264674.54,1962243.2,41904228.2
Iran,2017,2095213.02,2373117.74,9449742.34,34694.22,3193673.51,83176.85,559754.12,17791388.8
Italy,2017,656024.49,115132.68,2252093.72,56790.14,896624.21,17008.76,432126.39,4427817.39
Japan,2017,1802059.74,657610.56,3867695.19,62259.78,1046816.13,45216.83,436803.1,7920478.33
Malaysia,2017,882979.08,350131.56,4065606.38,42281.73,1618555.35,34253.89,277406.18,7273231.169999999
Mexico,2017,2008065.47,2591723.86,8337372.33,152622.48,2337305.41,68265.71,871333.69,16368705.950000001
Netherlands,2017,217996.55,27130.54,561195.07,9743.78,222459.67,3846.13,159395.93,1203784.67
Nigeria,2017,657161.2,99561.34,24806751.97,667372.7,5439235.66,200399.4,1320250.55,33192749.819999997
Pakistan,2017,1593125.39,1501381.47,12349038.91,506592.91,2957323.31,163847.66,1935802.96,21009129.61
Philippines,2017,635255.24,492557.58,3298248.88,88674.98,1242324.65,42959.4,499829.2,6301866.930000001
Poland,2017,766476.48,582516.33,2542062.53,84095.15,683693.07,30896.45,336301.26,5028058.27
Russia,2017,3636421.4,4794931.57,7525778.05,286301.85,4052201.04,160711.12,1178873.47,21637235.5
Saudi Arabia,2017,2138597.52,4043208.88,1620198.8,26068.64,1743856.51,72599.85,122730.52,9769277.719999999
South Korea,2017,1055211.4,292031.31,922399.59,62306.03,982181.46,28475.42,308901.93,3653524.1399999997
Spain,2017,715826.99,237472.22,1290567.32,27016.6,531930.77,13137.24,509155.21,3327123.3500000006
Thailand,2017,1187078.76,445650.45,10088393.33,245077.25,3227468.95,101961.42,735654.77,16033301.929999998
Turkey,2017,963459.6,2588687.11,1606282.54,63853.06,625104.56,54897.43,725788.63,6630089.929999999
United Arab Emirates,2017,545936.52,538355.14,927309.23,7018.95,994165.49,18805.05,22178.79,3055786.17
United Kingdom,2017,818031.68,163657.83,1559091.35,33160.79,791297.56,15500.16,357425.87,3740182.2400000007
United States,2017,8352825.57,2364006.07,30812696.63,314016.0,10883947.31,141891.15,3608419.28,56479819.01
Vietnam,2017,947335.92,561289.11,10256054.9,212595.19,2234926.07,77942.18,654878.46,14947038.829999998
Australia,2018,1123610.02,1025119.2,1881913.0,26129.04,825529.9,25720.53,568130.62,5478170.3100000005
Bangladesh,2018,774575.51,253432.52,3333776.45,133207.53,959885.81,48626.44,1052130.47,6557652.73
Brazil,2018,3170791.67,1528988.07,13354974.23,450480.3,3929434.4,154735.39,3130177.21,25721599.27
Canada,2018,1751270.99,859977.76,5693367.18,69208.18,1912338.97,21030.0,484068.37,10793279.45
China,2018,22929054.23,12468032.13,150442538.6,1928183.36,29677052.02,1216547.81,12229442.64,230892868.79000002
Egypt,2018,728205.66,633672.72,1936896.5,90719.0,811019.01,62760.43,498101.26,4763392.579999999
France,2018,851180.88,137845.21,2467385.31,64767.56,706287.15,22416.87,712088.67,4963989.65
Germany,2018,994416.05,300929.71,2642850.01,83143.63,1044081.0,29838.97,694551.8,5791829.169999999
India,2018,9583120.72,9933342.31,54149720.78,2615852.9,11104385.18,901762.4,10134906.13,98425108.42000002
Indonesia,2018,4818997.15,2365641.51,23928060.11,756045.36,7840369.16,267903.44,1983161.27,41962196.0
Iran,2018,2136157.44,2233408.49,9310341.13,34057.42,3147448.25,83322.81,566204.94,17512958.48
Italy,2018,634517.99,114107.22,2199180.45,54750.13,886941.72,16077.73,432179.92,4339773.16
Japan,2018,1733174.45,642312.26,3691659.49,62103.07,1034975.71,44262.62,435175.14,7645680.74
Malaysia,2018,896736.72,374812.51,3947786.33,42164.1,1585211.51,34144.69,280711.95,7163585.8100000005
Mexico,2018,1903270.31,2221381.26,7823684.38,149428.86,2261845.69,65266.71,880496.83,15307392.04
Netherlands,2018,209148.31,26002.94,549366.71,9542.91,221952.06,3656.43,159935.52,1181622.88
Nigeria,2018,671743.45,102710.44,24890322.23,666213.57,5470300.23,200783.76,1338948.98,33343040.660000004
Pakistan,2018,1518417.07,1733027.13,13458796.03,510365.66,2912167.27,164186.81,1972814.62,22271792.59
Philippines,2018,648987.69,516119.4,3276187.33,88122.56,1243429.76,42629.18,506967.93,6324461.849999999
Poland,2018,731228.16,528785.53,2490406.31,82552.24,677233.52,29697.95,336150.62,4878072.33
Russia,2018,3712930.37,5037840.04,7523934.78,283123.04,4034993.97,158995.06,1178905.01,21932740.27
Saudi Arabia,2018,2098352.3,3677528.18,1524383.52,24882.95,1719404.31,69912.6,124056.33,9240538.19
South Korea,2018,1047420.16,289730.73,914160.92,61299.66,981094.62,27576.37,310395.67,3633696.1300000004
Spain,2018,684640.41,222599.35,1270171.89,25971.24,529611.76,12369.11,509668.95,3257050.7100000004
Thailand,2018,1209904.79,471340.98,9967326.12,243826.61,3203289.13,101589.83,737101.64,15936397.1
Turkey,2018,908705.23,2661329.38,1588450.76,62165.04,623087.18,47857.25,731255.78,6624868.62
United Arab Emirates,2018,544077.85,673936.93,937790.23,7091.48,995769.59,19138.45,22610.97,3202433.5
United Kingdom,2018,779172.88,150909.98,1499200.45,31937.02,790408.83,14499.57,359503.98,3627650.71
United States,2018,8004348.01,2280939.46,29260964.57,297709.86,10698303.81,136314.53,3602809.01,54283407.25
Vietnam,2018,1052623.14,695156.64,10914872.55,219213.88,2262785.93,83608.08,661310.6,15891588.82
Australia,2019,1097491.39,1070816.8,1873784.77,25234.84,824892.33,25243.4,575909.04,5495391.57
Bangladesh,2019,807382.49,282452.64,3459258.93,134107.23,965235.1,49092.55,1064109.38,6763657.32
Brazil,2019,3098611.95,1522167.98,12888700.06,440078.81,3810192.56,150193.44,3151941.09,25063904.89
Canada,2019,1686506.97,809870.48,5582268.1,68779.08,1897965.72,20176.99,488018.9,10555605.24
China,2019,22635845.64,12137897.71,148447211.5,1926778.28,29404853.33,1212819.81,12277069.7,228044494.96999997
Egypt,2019,714995.49,624237.8,1975097.41,89900.82,803791.08,61832.88,506462.77,4778337.25
France,2019,799498.03,126041.05,2401440.96,61925.95,699428.35,20374.33,714846.29,4825573.960000001
Germany,2019,905632.12,265315.98,2531256.68,80449.13,1036182.18,28354.85,693823.8,5543033.739999999
India,2019,9476939.53,9672037.31,53392563.74,2597599.93,11053657.74,885926.98,10247139.62,97327883.85000001
Indonesia,2019,5038852.43,2595484.38,23309812.17,755683.79,7602169.19,269256.86,2003211.6,41576489.42
Iran,2019,2274539.75,2117704.82,9951627.68,35781.01,3265403.39,90456.97,572447.05,18309979.669999998
Italy,2019,587047.62,109312.83,2112627.81,52187.67,868127.1,14465.13,431807.01,4177594.17
Japan,2019,1674207.29,634185.78,3535352.7,62105.01,1024589.89,43737.06,433530.22,7409726.949999999
Malaysia,2019,896638.04,377090.03,3839309.87,41831.4,1555014.58,33978.93,284254.01,7030135.86
Mexico,2019,1779399.44,2325587.27,7254316.59,145951.3,2170629.91,61754.9,889202.68,14628861.090000002
Netherlands,2019,197663.66,24180.51,526103.29,9284.43,220194.76,3359.06,160362.45,1143167.1600000001
Nigeria,2019,682339.66,105259.55,24946347.52,665079.08,5496787.16,201050.26,1357920.88,33456803.11
Pakistan,2019,1473037.9,1756767.62,13707423.75,510743.96,2863707.46,163271.7,2008592.01,22485563.400000002
Philippines,2019,669617.54,545617.99,3266633.22,87735.67,1248417.22,42677.71,514186.96,6376905.31
Poland,2019,672063.23,437663.79,2312612.53,80044.75,666033.15,27541.7,335662.74,4533640.89
Russia,2019,3650510.3,4936763.22,7415944.68,278986.61,3990978.97,156322.77,1177554.03,21609079.58
Saudi Arabia,2019,2113143.04,3687984.5,1483704.82,24647.65,1712130.22,69879.49,125937.71,9219446.430000002
South Korea,2019,1008372.29,278491.76,890880.28,59873.38,978284.36,26332.64,311140.14,3555393.85
Spain,2019,641691.58,188274.45,1240913.41,24732.6,526105.71,11285.89,510394.02,3145416.66
Thailand,2019,1206344.47,448504.98,9762535.91,240695.88,3169442.24,100016.64,737725.43,15667284.55
Turkey,2019,867050.28,2638195.05,1572748.11,60191.32,621408.43,42264.46,736225.55,6540102.2
United Arab Emirates,2019,539097.11,525422.88,917063.12,6776.29,975937.86,18490.99,22762.02,3007569.27
United Kingdom,2019,738638.52,139173.31,1434706.76,30705.48,788996.98,13465.19,361509.83,3509215.07
United States,2019,7679316.62,1921172.15,28843362.52,279399.57,10646076.14,128396.08,3628009.15,53127751.23
Vietnam,2019,1177238.84,852061.42,11708923.29,226891.68,2296905.23,90055.98,667801.76,17021897.2
