Country,Happiness Score,Year
Canada,7.427,2015
Netherlands,7.378,2015
Australia,7.284,2015
Mexico,7.187,2015
United States,7.119,2015
Brazil,6.983,2015
United Arab Emirates,6.901,2015
United Kingdom,6.867,2015
Germany,6.75,2015
France,6.575,2015
Thailand,6.455,2015
Saudi Arabia,6.411,2015
Spain,6.329,2015
Japan,5.987,2015
South Korea,5.984,2015
Italy,5.948,2015
Poland,5.791,2015
Malaysia,5.77,2015
Russia,5.716,2015
Indonesia,5.399,2015
Vietnam,5.36,2015
Turkey,5.332,2015
Nigeria,5.268,2015
Pakistan,5.194,2015
China,5.14,2015
Philippines,5.073,2015
Bangladesh,4.694,2015
Iran,4.686,2015
India,4.565,2015
Egypt,4.194,2015
Canada,7.404,2016
Netherlands,7.339,2016
Australia,7.313,2016
United States,7.104,2016
Germany,6.994,2016
Brazil,6.952,2016
Mexico,6.778,2016
United Kingdom,6.725,2016
United Arab Emirates,6.573,2016
France,6.478,2016
Thailand,6.474,2016
Saudi Arabia,6.379,2016
Spain,6.361,2016
Malaysia,6.005,2016
Italy,5.977,2016
Japan,5.921,2016
Russia,5.856,2016
Poland,5.835,2016
South Korea,5.835,2016
Turkey,5.389,2016
Indonesia,5.314,2016
Philippines,5.279,2016
China,5.245,2016
Pakistan,5.132,2016
Vietnam,5.061,2016
Nigeria,4.875,2016
Iran,4.813,2016
Bangladesh,4.643,2016
India,4.404,2016
Egypt,4.362,2016
Netherlands,7.376999855,2017
Canada,7.315999985,2017
Australia,7.28399992,2017
United States,6.993000031,2017
Germany,6.951000214,2017
United Kingdom,6.714000225,2017
United Arab Emirates,6.647999763,2017
Brazil,6.635000229,2017
Mexico,6.578000069,2017
France,6.441999912,2017
Thailand,6.423999786,2017
Spain,6.402999878,2017
Saudi Arabia,6.343999863,2017
Malaysia,6.084000111,2017
Poland,5.97300005,2017
Italy,5.964000225,2017
Russia,5.962999821,2017
Japan,5.920000076,2017
South Korea,5.837999821,2017
Turkey,5.5,2017
Philippines,5.429999828,2017
China,5.272999763,2017
Pakistan,5.269000053,2017
Indonesia,5.262000084,2017
Vietnam,5.073999882,2017
Nigeria,5.073999882,2017
Egypt,4.735000134,2017
Iran,4.691999912,2017
Bangladesh,4.607999802,2017
India,4.315000057,2017
Netherlands,7.441,2018
Canada,7.328,2018
Australia,7.272,2018
United Kingdom,7.19,2018
Germany,6.965,2018
United States,6.886,2018
United Arab Emirates,6.774,2018
France,6.489,2018
Mexico,6.488,2018
Brazil,6.419,2018
Saudi Arabia,6.371,2018
Malaysia,6.322,2018
Spain,6.31,2018
Poland,6.123,2018
Thailand,6.072,2018
Italy,6.0,2018
Japan,5.915,2018
South Korea,5.875,2018
Russia,5.81,2018
Philippines,5.524,2018
Turkey,5.483,2018
Pakistan,5.472,2018
China,5.246,2018
Nigeria,5.155,2018
Vietnam,5.103,2018
Indonesia,5.093,2018
Iran,4.707,2018
Bangladesh,4.5,2018
Egypt,4.419,2018
India,4.19,2018
Netherlands,7.488,2019
Canada,7.278,2019
Australia,7.228,2019
United Kingdom,7.054,2019
Germany,6.985,2019
United States,6.892,2019
United Arab Emirates,6.825,2019
Mexico,6.595,2019
France,6.592,2019
Saudi Arabia,6.375,2019
Spain,6.354,2019
Brazil,6.3,2019
Italy,6.223,2019
Poland,6.182,2019
Thailand,6.008,2019
South Korea,5.895,2019
Japan,5.886,2019
Pakistan,5.653,2019
Russia,5.648,2019
Philippines,5.631,2019
Turkey,5.373,2019
Malaysia,5.339,2019
Nigeria,5.265,2019
Indonesia,5.192,2019
China,5.191,2019
Vietnam,5.175,2019
Iran,4.548,2019
Bangladesh,4.456,2019
Egypt,4.166,2019
India,4.015,2019
Netherlands,7.448900223,2020
Canada,7.23210001,2020
Australia,7.222799778,2020
United Kingdom,7.164500237,2020
Germany,7.075799942,2020
United States,6.939599991,2020
United Arab Emirates,6.790800095,2020
France,6.663799763,2020
Mexico,6.465000153,2020
Saudi Arabia,6.406499863,2020
Spain,6.400899887,2020
Italy,6.38740015,2020
Brazil,6.375599861,2020
Poland,6.186299801,2020
Philippines,6.006000042,2020
Thailand,5.998799801,2020
South Korea,5.872399807,2020
Japan,5.870800018,2020
Pakistan,5.69329977,2020
Russia,5.546000004,2020
Malaysia,5.384300232,2020
Vietnam,5.353499889,2020
Indonesia,5.285600185,2020
Turkey,5.131800175,2020
China,5.123899937,2020
Bangladesh,4.832799911,2020
Nigeria,4.724100113,2020
Iran,4.672399998,2020
Egypt,4.151400089,2020
India,3.573299885,2020
Netherlands,7.464,2021
Australia,7.183,2021
Germany,7.155,2021
Canada,7.103,2021
United Kingdom,7.064,2021
United States,6.951,2021
France,6.69,2021
United Arab Emirates,6.561,2021
Saudi Arabia,6.494,2021
Spain,6.491,2021
Italy,6.483,2021
Brazil,6.33,2021
Mexico,6.317,2021
Poland,6.166,2021
Thailand,5.985,2021
Japan,5.94,2021
Philippines,5.88,2021
South Korea,5.845,2021
Russia,5.477,2021
Vietnam,5.411,2021
Malaysia,5.384,2021
Indonesia,5.345,2021
China,5.339,2021
Bangladesh,5.025,2021
Turkey,4.948,2021
Pakistan,4.934,2021
Nigeria,4.759,2021
Iran,4.721,2021
Egypt,4.283,2021
India,3.819,2021
Netherlands,7.415,2022
Australia,7.162,2022
Germany,7.034,2022
Canada,7.025,2022
United States,6.977,2022
United Kingdom,6.943,2022
France,6.687,2022
United Arab Emirates,6.576,2022
Saudi Arabia,6.523,2022
Spain,6.476,2022
Italy,6.467,2022
Brazil,6.293,2022
Mexico,6.128,2022
Poland,6.123,2022
Japan,6.039,2022
South Korea,5.935,2022
Philippines,5.904,2022
Thailand,5.891,2022
Malaysia,5.711,2022
China,5.585,2022
Vietnam,5.485,2022
Russia,5.459,2022
Indonesia,5.24,2022
Bangladesh,5.155,2022
Iran,4.888,2022
Turkey,4.744,2022
Nigeria,4.552,2022
Pakistan,4.516,2022
Egypt,4.288,2022
India,3.777,2022
